date,australia_ret_without_div_aud,france_ret_without_div_eur,germany_ret_without_div_eur,japan_ret_without_div_jpy,switzerland_ret_without_div_chf,uk_ret_without_div_gbp,us_ret_without_div_usd
2002-05-01,-0.015424472,-0.045754629,-0.047092776,0.0205737687,-0.007961228,-0.015411031,-0.050504
2002-06-01,-0.001751575,-0.035486643,-0.033068468,0.0359202084,-0.00063874,-0.013937203,-0.011958
2002-07-01,-0.031932876,-0.086672698,-0.072463039,-0.083960509,-0.082069724,-0.084101907,-0.071515
2002-08-01,-0.041947913,-0.105257961,-0.11295154,-0.057960433,-0.135335335,-0.091391942,-0.08231
2002-09-01,0.012460989,-0.004629202,-0.003387543,-0.024591272,0.0010024834,-0.002916281,0.006405
2002-10-01,-0.04692225,-0.148650901,-0.205151895,-0.024736561,-0.089811171,-0.116380412,-0.101387
2002-11-01,0.0093939529,0.1102100773,0.1037245989,-0.061198213,0.0303685852,0.0729015466,0.073522
2002-12-01,-0.010748586,0.0461705176,0.027600712,0.0338316906,0.0379362198,0.0294417025,0.059612
2003-01-01,-0.01869581,-0.064980283,-0.096118004,-0.053596525,-0.08589302,-0.052256132,-0.054977
2003-02-01,-0.014101981,-0.04094801,-0.034838,-0.025866206,-0.050124041,-0.08925244,-0.024576
2003-03-01,-0.056321638,-0.052398274,-0.053516935,-0.003279315,-0.052910212,0.0222961167,-0.017243
2003-04-01,0.0194899874,-0.044007004,-0.037288953,-0.037004567,-0.013418893,-0.01172649,0.008901
2003-05-01,0.0448148024,0.1092670526,0.1602448919,0.015174446,0.1097605174,0.087255493,0.08118
2003-06-01,0.0025919443,0.0211007183,0.013427391,0.0494444061,0.0050413537,0.0399601099,0.061778
2003-07-01,0.0120014663,0.02771287,0.0608761067,0.0772253279,0.0354854981,0.0014360056,0.014797
2003-08-01,0.0351104391,0.0360353175,0.060615358,0.0407373924,0.0477964827,0.0335835495,0.021764
2003-09-01,0.0249028713,0.0340563448,0.0097280027,0.0641653193,0.0201782894,0.0066484554,0.023486
2003-10-01,-0.000917019,-0.039914859,-0.045329555,0.02172405,-0.015569995,-0.015236919,-0.010607
2003-11-01,0.0335724338,0.0667555212,0.0943712127,0.0262078493,0.0419813535,0.0454914631,0.058882
2003-12-01,-0.021342355,0.0133562068,0.01617917,-0.039173084,0.0177891917,0.0113950387,0.015052
2004-01-01,0.029968726,0.0327539322,0.0344157921,0.042103882,0.0263858786,0.0274900466,0.04382
2004-02-01,-0.006895505,0.0288081671,0.0353526429,0.0054737256,0.0489080901,-0.011148987,0.022019
2004-03-01,0.025792538,0.0266597794,-0.002538369,0.031655123,0.0118732119,0.025020792,0.013958
2004-04-01,0.0144008607,-0.019190643,-0.030879065,0.0899798516,-0.024608723,-0.020419721,-0.011985
2004-05-01,-0.010069729,0.008063883,0.021110904,0.0279086623,0.0200252916,0.0223415119,-0.025568
2004-06-01,0.0096515637,-0.002652311,-0.019170902,-0.039711009,-0.023964913,-0.015948332,0.012384
2004-07-01,0.0261635664,0.0193375798,0.0257188017,0.0464999386,0.0064241629,0.0111321016,0.020049
2004-08-01,0.0080965629,-0.018942011,-0.031201967,-0.044950454,-0.021678412,-0.01650997,-0.038792
2004-09-01,0.0140422868,-0.008716104,-0.026059985,-0.009221693,-0.01710073,0.0089969882,0.001058
2004-10-01,0.0318170434,0.0140081208,0.0231427395,-0.027063586,0.0070604859,0.0239797877,0.019099
2004-11-01,0.0361806733,0.0167739552,0.0128427934,-0.015954113,-0.01259728,0.0124537349,0.016579
2004-12-01,0.0405898111,0.0139157898,0.0407628645,0.0127991806,0.0194465937,0.0182838629,0.04432
2005-01-01,0.0261909312,0.0213340956,0.0271484947,0.047374076,0.0389182564,0.0267730491,0.033414
2005-02-01,0.0195023437,0.0279789953,0.0061887546,-0.001275401,0.0240910112,0.0114203097,-0.027399
2005-03-01,0.0170804399,0.0341717065,0.0253102912,0.0252988238,0.0349054293,0.0206384831,0.02081
2005-04-01,-0.016747863,0.0076109321,-0.00323137,0.0044108653,-0.007480121,-0.014784254,-0.018578
2005-05-01,-0.033722353,-0.029647046,-0.040589583,-0.04180676,-0.023518931,-0.021686055,-0.02659
2005-06-01,0.0251491379,0.0488031861,0.0485004839,0.0115992402,0.0337859156,0.0335745673,0.036151
2005-07-01,0.0398722427,0.0272159751,0.0277490712,0.0298456533,0.0209315126,0.028852347,0.009905
2005-08-01,0.004042325,0.0501075269,0.0618572065,0.0163164166,0.0526201459,0.0328892048,0.042251
2005-09-01,0.0126573083,-0.015515764,-0.00852627,0.0528554499,-0.009615645,0.0021483027,-0.007776
2005-10-01,0.0418436168,0.0421553255,0.0352175477,0.1178814304,0.0598218164,0.029553007,0.009331
2005-11-01,-0.036343825,-0.038478469,-0.024276323,0.0241181132,0.0047460508,-0.024585282,-0.021974
2005-12-01,0.0308539007,0.0289707457,0.0408900211,0.0628381324,0.0494688631,0.0258665997,0.038073
2006-01-01,0.0250891766,0.0322934489,0.0371104564,0.0781934284,0.0289943693,0.0397632937,0.001884
2006-02-01,0.0360233428,0.0458884319,0.0542064164,0.0326420356,0.0343807283,0.0200504992,0.038966
2006-03-01,0.0012262866,0.0135318875,0.032504724,-0.033309455,0.0216348385,0.0177179422,-0.003552
2006-04-01,0.0379492808,0.0420246364,0.031290297,0.0413685305,0.023040474,0.0271935227,0.017598
2006-05-01,0.0271130099,0.0012197878,0.004097048,-0.009558808,0.0091968569,0.0037352113,0.01153
2006-06-01,-0.046275556,-0.055350779,-0.064072451,-0.079004626,-0.059431051,-0.049965894,-0.03301
2006-07-01,0.012340144,0.0054220929,-0.008152738,0.0020063475,-0.004374466,0.016532627,-0.001887
2006-08-01,-0.013681965,0.0090886005,0.0027507535,-0.015336401,0.0277649083,0.0064637012,-0.002955
2006-09-01,0.0253775127,0.0322281279,0.0270800274,0.0410317863,0.0288594452,0.0008011733,0.022968
2006-10-01,0.0075220509,0.0166308767,0.0314055418,-0.014031116,0.0419389465,0.0157138258,0.01811
2006-11-01,0.0434312279,0.0212824789,0.0358578535,0.005901239,0.0231209601,0.0265937694,0.036107
2006-12-01,0.0199322206,0.0021581247,0.0055075539,-0.008769941,-0.003701535,-0.006183729,0.021374
2007-01-01,0.0356548968,0.0441984217,0.0476478579,0.047237323,0.0467568258,0.0331686354,0.009154
2007-02-01,0.019094088,0.0107741453,0.032574907,0.0242530561,0.0416287117,-0.002499405,0.018452
2007-03-01,0.0107949517,-0.01056922,-0.007007565,0.0158687873,-0.033363649,-0.004090062,-0.015996
2007-04-01,0.0294403575,0.0318566634,0.0332431076,-0.02132216,0.0292854831,0.0241544519,0.011479
2007-05-01,0.0299587658,0.0453425393,0.0468160666,-0.009655095,0.0486618209,0.0208051785,0.03847
2007-06-01,0.0261622565,0.0288625455,0.0351759972,0.0277068331,0.0080070013,0.0218908377,0.036666
2007-07-01,-0.007796736,-0.001552313,0.0056684976,0.0101560815,-0.022960822,-0.014857856,-0.01611
2007-08-01,-0.017708137,-0.047039146,-0.039173584,-0.040045642,-0.03549585,-0.036612691,-0.032792
2007-09-01,0.0053771951,-0.017796899,-0.004265648,-0.055116004,-0.006946503,-0.008199599,0.009641
2007-10-01,0.0498640445,0.0029250032,0.0206400151,0.0041873875,0.0037943136,0.0117538873,0.039306
2007-11-01,0.0321296494,0.0278918853,0.0259855836,0.0077803616,0.0213782256,0.0416736167,0.02477
2007-12-01,-0.039879516,-0.031245311,-0.023710015,-0.05456406,-0.038902763,-0.045593474,-0.051309
2008-01-01,-0.029944631,-0.011868848,0.0139558846,-0.033559291,-0.024548417,-0.001145546,-0.006493
2008-02-01,-0.114225696,-0.136817575,-0.127586905,-0.09271393,-0.107983865,-0.089604595,-0.063321
2008-03-01,-0.009007454,-0.018972507,-0.003262021,-0.01412672,-0.016410806,0.0029858528,-0.023636
2008-04-01,-0.046668502,-0.018952486,-0.026710577,-0.079996488,-0.036976052,-0.026033991,-0.012186
2008-05-01,0.0474302498,0.064129715,0.0438529549,0.1065066224,0.0567073493,0.0464570824,0.049876
2008-06-01,0.0228682,0.0034165139,0.0058966779,0.0376403848,0.0061376815,-0.012491802,0.021621
2008-07-01,-0.07952744,-0.115187376,-0.083417869,-0.060874517,-0.089091957,-0.076229813,-0.080249
2008-08-01,-0.052128284,-0.025287422,-0.008786389,-0.013188842,0.0083430959,-0.035704243,-0.014759
2008-09-01,0.0330361637,0.0260969508,-0.004079433,-0.034428646,0.0233113787,0.04469893,0.008608
2008-10-01,-0.100975913,-0.094972662,-0.086311318,-0.13274365,-0.088881925,-0.12484841,-0.099959
2008-11-01,-0.143113952,-0.129192199,-0.232727563,-0.198577464,-0.122528521,-0.117918514,-0.186319
2008-12-01,-0.069629992,-0.057797551,-0.046800848,-0.029319528,-0.054547827,-0.030001544,-0.08742
2009-01-01,0.0010902106,-0.009746165,0.0402109019,0.0302745373,-0.040513645,0.0333270936,0.019166
2009-02-01,-0.050458955,-0.066870034,-0.095151362,-0.077561607,-0.046438551,-0.058557073,-0.078863
2009-03-01,-0.05881935,-0.093645848,-0.098879844,-0.044646712,-0.101533498,-0.068432042,-0.103353
2009-04-01,0.0687278892,0.0339764448,0.039946088,0.018802025,0.0203359164,0.0130651905,0.083548
2009-05-01,0.0603411076,0.1267989907,0.1423765602,0.0763478373,0.101211271,0.0896194471,0.107632
2009-06-01,0.0152509177,0.0302175553,0.0206972198,0.0709189731,0.0293130733,0.0359514027,0.065137
2009-07-01,0.0374580945,-0.034403759,-0.023212757,0.0389756266,0.0078009217,-0.029688393,-0.004962
2009-08-01,0.0758436809,0.0776075428,0.0843707574,0.0237399555,0.0822736758,0.0854876709,0.08036
2009-09-01,0.058970844,0.0749889603,-0.001455734,0.0161079333,0.0490526334,0.0749759375,0.029351
2009-10-01,0.0585491134,0.0497075532,0.0333366557,-0.049738478,0.0279862418,0.040108193,0.043643
2009-11-01,-0.022378161,-0.037788548,-0.038509544,-0.019281959,-0.019072307,-0.020591914,-0.029326
2009-12-01,0.0115372452,0.0067929319,0.0306715009,-0.061168458,-0.001930902,0.0162559677,0.054619
2010-01-01,0.033997366,0.0540384233,0.0483072994,0.0796077664,0.0393923415,0.040661148,0.026449
2010-02-01,-0.054992819,-0.032811708,-0.043016293,-0.006983286,-0.010759863,-0.031147221,-0.038184
2010-03-01,0.010259653,-0.010379423,-0.005433978,-0.007577333,0.0334806961,0.027956004,0.032657
2010-04-01,0.0486100213,0.0687633371,0.0859758545,0.0916766043,0.0388037174,0.0584444338,0.061985
2010-05-01,-0.012101559,-0.022636589,-0.003891181,0.0095519487,-0.03097072,-0.011945827,0.018924
2010-06-01,-0.081138972,-0.071902612,-0.042825854,-0.104899825,-0.04374968,-0.068660996,-0.081328
2010-07-01,-0.030019002,-0.019194289,0.0024919054,-0.037485732,-0.020818093,-0.04599878,-0.05252
2010-08-01,0.0409247205,0.0510092631,0.0300257866,0.0077238394,0.0261748163,0.0710266742,0.068664
2010-09-01,-0.017254234,-0.034465424,-0.029223075,-0.051566429,-0.008257891,-0.006911214,-0.044989
2010-10-01,0.0436714069,0.0652472523,0.055473501,0.0301248061,0.0293369167,0.0596895276,0.089747
2010-11-01,0.0188306501,0.0334805038,0.0547546414,-0.023954289,0.0229085173,0.0175530819,0.037071
2010-12-01,-0.012625109,-0.051209129,0.0063375646,0.0610631751,-0.016730284,-0.028561117,0.002917
2011-01-01,0.0321364395,0.0483946542,0.0417311289,0.043265473,0.0271627261,0.0661982912,0.06485
2011-02-01,0.0023797747,0.0382821535,0.0144201939,0.0137732052,0.0006534235,-0.004443245,0.018231
2011-03-01,0.0144404875,0.025905954,0.0220135197,0.0439269147,0.0205384317,0.0195356738,0.036223
2011-04-01,0.0009449531,-0.026012028,-0.018239335,-0.081199248,-0.024818281,-0.018222496,0.001758
2011-05-01,-0.006179795,0.0288918718,0.0459488734,-0.016009067,0.0207702376,0.027811871,0.027483
2011-06-01,-0.026906979,-0.013541133,-0.036139383,-0.012389365,-0.010915959,-0.007726911,-0.016956
2011-07-01,-0.02873976,-0.008256518,0.0069977395,0.0121423574,-0.056716251,-0.009463038,-0.020211
2011-08-01,-0.032894975,-0.061095275,-0.032986854,-0.008613873,-0.074994159,-0.022831372,-0.023674
2011-09-01,-0.028995652,-0.099946153,-0.16420982,-0.076950989,-0.054211307,-0.078602413,-0.059704
2011-10-01,-0.068465887,-0.084399742,-0.057188617,-0.008564316,-0.012394494,-0.045549996,-0.086672
2011-11-01,0.0703490282,0.0732946568,0.1002938346,0.0015050178,0.0439774684,0.0714209809,0.112735
2011-12-01,-0.039727001,-0.038179699,-0.011177339,-0.045559854,-0.01992295,-0.014151825,-0.008937
2012-01-01,-0.018885096,-0.006598901,-0.025197266,0.0031531302,0.0347688828,0.005016353,0.001428
2012-02-01,0.0503590568,0.051788951,0.0833589011,0.0315945233,0.0154315703,0.0273228834,0.05296
2012-03-01,0.0152628828,0.0445458343,0.0553462858,0.1007308631,0.0280968409,0.0374731162,0.038953
2012-04-01,0.0085193657,-0.003638776,0.0118216847,0.0247004936,0.0193907846,-0.008218336,0.022138
2012-05-01,0.0104007487,-0.052528631,-0.026744832,-0.05377409,-0.027171855,-0.009013211,-0.008046
2012-06-01,-0.072486791,-0.059589594,-0.079810151,-0.100479259,-0.039396982,-0.067392772,-0.068005
2012-07-01,0.0015271431,0.0485071695,0.0132545093,0.0663238641,0.0254131646,0.0472141942,0.036049
2012-08-01,0.0385929518,0.022752032,0.0471688746,-0.039089951,0.0459532484,0.0123569198,0.009055
2012-09-01,0.0118648193,0.0335650166,0.0197018089,-0.003654869,-0.001377759,0.0122202211,0.023718
2012-10-01,0.0141341046,-0.008845127,0.0247003448,0.0077609845,0.0187031028,0.0107870627,0.024564
2012-11-01,0.030008744,0.0199200665,0.0163134779,0.0051047305,0.0151231311,0.010058917,-0.015502
2012-12-01,-0.004513004,0.0362601137,0.0205390098,0.0499272396,0.0299205124,0.0171782472,0.002977
2013-01-01,0.0313143454,0.0161390536,0.021399509,0.0909510618,0.0016841249,0.0094792802,0.009019
2013-02-01,0.051027612,0.0297907115,0.0252566478,0.0953303047,0.0706330594,0.0611331738,0.052937
2013-03-01,0.0449637157,0.0068140165,0.0030890362,0.039216835,0.0262183586,0.0231499441,0.006079
2013-04-01,-0.024938169,0.0076305545,0.0042014607,0.065952611,0.0233632646,0.0102294103,0.033526
2013-05-01,0.0388925386,0.0272612786,0.0016034198,0.1233933146,0.0030954364,0.0062802381,0.013764
2013-06-01,-0.053745166,0.0246151338,0.0349854287,-0.025540521,0.0020120989,0.0220695316,0.016568
2013-07-01,-0.028395131,-0.050264033,-0.039846061,-0.003268775,-0.033551109,-0.049407843,-0.017089
